"aasta";"koht";"vastanuid";"lugu";"lugu_toodeldud";"artist";"track";"lugu_url";"lugu_url_2";"sonad";"keel"
"1994";11;NA;"Vennaskond - Disko";"Vennaskond - Disko";"Vennaskond";"Disko";"vennaskond-disko";"http://sasslantis.ee/lyrics-vennaskond-disko";"Me läbime ööd ja teel, mille algust ei mäleta enam 
ja meid ei huvita ammu mis on me siht ja muud 
peale kiiruse, punase auto ei ole meil midagi enam. 
Tumesinine taevas ja tähed. Müürina mööduvad puud. 
  
'Anna üks sigaret,'-'Võta.' Rohkem ei tarvita sõnu. 
'Ava üks pudel,'-'Jah, kohe.' Sellega lõppeb me jutt. 
Muusika mängib ja kuskilt on tuttav see tunne ja valu. 
Mälestus.Igatsus. Ammu on lõppenud ahastav nutt. 
  
Siiski ei ole meil aega, kuigi ei ole ka kiiret 
jõuda kuhugi välja - parem ma vastan:'Ei tea.' 
Sõita kusagilt välja - selleks ei ole meil julgust. 
Asfaldi valged jooned. Kiirteede viimased read. 
  
Avada järgmine pudel, süüdata järgmine suits. 
Konid ja tühi taara, klaasikillud me teel 
jäävad meist tänagi maha. Muusika mängib ja saadab meid, 
meie jälgedes sõitjaid ja neid, kes sõitsid me ees...
            
            ";"eesti"
"1994";12;NA;"2 Quick Start - Neiu Mustas Kleidis";"2 Quick Start - Neiu Mustas Kleidis";"2 Quick Start";"Neiu Mustas Kleidis";"2_quick_start-neiu_mustas_kleidis";"http://sasslantis.ee/lyrics-2_quick_start-neiu_mustas_kleidis";"On tähine taevas, mustamas öös.
On sündides vaevas roos, 
mis lahti lööb end armunu peos,
kes otse tabatud teolt.
On trummi ja tamburiinide hääl.
Roos avab end mustas kleidis neiu kääs, 
kes jalgades tuul. 
Mind kutsub naeratus suul.

(Ref.)Neiu mustas kleidis. 
Tantsi veel, tantsi veel.
Neiu mustas kleidis...
Neiu mustas kelidis.
Tantsi veel, tantsi veel.
Neiu mustas kleidis...

Kui rahuneb rütm ja trummide hääl.
Ma tantsival neiul haaran kinni käest.
Kuid pudeneb koost meid öösel sidunud roos.

(Ref.) 

(Ref.)

            
            ";"eesti"
"1994";13;NA;"Nancy - Mul luba loota";"Nancy - Mul luba loota";"Nancy";"Mul luba loota";"nancy-mul_luba_loota";"http://sasslantis.ee/lyrics-nancy-mul_luba_loota";NA;NA
"1994";14;NA;"Mr. Lawrence - Every Day Is Like Sunday";"Mr. Lawrence - Every Day Is Like Sunday";"Mr. Lawrence";"Every Day Is Like Sunday";"mr_lawrence-every_day_is_like_sunday";"http://sasslantis.ee/lyrics-mr_lawrence-every_day_is_like_sunday";NA;NA
"1994";15;NA;"2 Quick Start - Kingitus";"2 Quick Start - Kingitus";"2 Quick Start";"Kingitus";"2_quick_start-kingitus";"http://sasslantis.ee/lyrics-2_quick_start-kingitus";"Olles käsi käes, 
käime öises linnas. 
Vaateaknail näen 
kaupa kõrges hinnas 

Järsku peatud sa, 
teatad särasilmil, 
et ma varsti saan 
hinnalise kingi 

Tea,et iial, 
muud ei soovi ma, 
mu kingitus oled sa. 
Kui mu kaenlas, 
ehteks on su käed, 
mu kallimaks kingiks jääd. 

Minu kingiks jääd. 
Minu kingiks jääd, 
mu kallimaks kingiks jääd. 

Mind sa naerad veel, 
küllap peagi märkad, 
mulle tähtis see, 
kui mu kõrval ärkad 

Tea,et iial, 
muud ei soovi ma, 
mu kingitus oled sa. 
Kui mu kaenlas, 
ehteks on su käed, 
mu kallimaks kingiks jääd. 

Tea,et iial, 
muud ei soovi ma, 
mu kingitus oled sa. 
Kui mu kaenlaas, 
ehteks on su käed, 
mu kallimaks kingis jääd. 
Minu kingiks jääd, 
minu kingiks jääd. 
Mu kallimaks kingiks jääd. 

Jeee-jeee-jeee-jeee 

5x Tea,et iial, 
muud ei soovi ma, 
mu kingitus oled sa. 
Kui mu kaenlas, 
ehteks on mu käed, 
mu kallimaks kingiks jääd 

Minu kingiks jääd, 
minu kingiks jääd.Mu kallimaks kingiks jääd.
            
            ";"eesti"
"1994";16;NA;"Kuldne Trio - Ütlen Sulle A";"Kuldne Trio - Ütlen Sulle A";"Kuldne Trio";"Ütlen Sulle A";"kuldne_trio-utlen_sulle_a";"http://sasslantis.ee/lyrics-kuldne_trio-utlen_sulle_a";NA;NA
"1994";17;NA;"2 Quick Start - Kaksikud";"2 Quick Start - Kaksikud";"2 Quick Start";"Kaksikud";"2_quick_start-kaksikud";"http://sasslantis.ee/lyrics-2_quick_start-kaksikud";"Silmade värv ja kulmukaar
Naeratus kui peeglis
Ühtmoodi kleit ja kingapaar
kumb on kumb,ei tea.

Üks ütleb ""ei"" siis teine ""ja""
ei tee vahet keegi.
Nii leidsin neid ja korraga
nüüd käingi kahe neiuga.

Ref:
On see kaotus, on see võit?
Kord kui tuleb ilmsiks kõik
Ei siis andeks anna keegi.
On see kaotus, on see võit?
Kord kui tuleb ilmsiks kõik
Kauneid kaksikuid on veelgi.

Miks mulle küll ei ütle vaist, kummast kinni hoida.
Ühtaegu kaasaks kahte naist võtta ju ei saa.
Kord tuleb üks, 
siis teine neist armurõõme leidma
Ühte kui suudlen, ihkan teist
ei tea, mis peab nii saama neist.

Ref:
On see kaotus, on see võit?
Kord kui tuleb ilmsiks kõik
Ei siis andeks anna keegi.
On see kaotus, on see võit?
Kord kui tuleb ilmsiks kõik
Kauneid kaksikuid on veelgi.
            
            ";"eesti"
"1994";18;NA;"Jam - Tants Mida Tantsime";"Jam - Tants Mida Tantsime";"Jam";"Tants Mida Tantsime";"jam-tants_mida_tantsime";"http://sasslantis.ee/lyrics-jam-tants_mida_tantsime";NA;NA
"1994";19;NA;"Vennaskond - Nüüd Mingem Siit Veel Koidu Eel";"Vennaskond - Nüüd Mingem Siit Veel Koidu Eel";"Vennaskond";"Nüüd Mingem Siit Veel Koidu Eel";"vennaskond-nuud_mingem_siit_veel_koidu_eel";"http://sasslantis.ee/lyrics-vennaskond-nuud_mingem_siit_veel_koidu_eel";NA;NA
"1994";20;NA;"Kuldne Trio - Ulla-Tralla";"Kuldne Trio - Ulla-Tralla";"Kuldne Trio";"Ulla-Tralla";"kuldne_trio-ulla-tralla";"http://sasslantis.ee/lyrics-kuldne_trio-ulla-tralla";NA;NA
"1994";21;NA;"Mr. Lawrence - Moonchild";"Mr. Lawrence - Moonchild";"Mr. Lawrence";"Moonchild";"mr_lawrence-moonchild";"http://sasslantis.ee/lyrics-mr_lawrence-moonchild";"Trembling to the beat of late October wind 
dressed in dusty rags 
You've been thinking all those years 
Like a golden autumn leaf 
that's trying to set its spirit free 
You've been hiding all those tears 
 
Just keep the frequency clear 
waiting for Your alien friend 
It makes me wonder 
is there anybody up there 
to hear Your lonely cry 
 
Twin to my heart You're watching the sky 
dreaming of this yellow land 
And when You get there 
don't you forget to give my regards 
to the moonchild... 
 
Naked children out of breath 
following the traces in the snow 
You've been running from those fears 
Catching signals getting hope 
recieving trust are we supposed 
to believe in what we hear?
            
            ";"inglise"
"1994";22;NA;"Jam - Miks Minema Läed?";"Jam - Miks Minema Läed?";"Jam";"Miks Minema Läed?";"jam-miks_minema_laed";"http://sasslantis.ee/lyrics-jam-miks_minema_laed";NA;NA
"1994";23;NA;"Beep Shop Boys - Kuul";"Beep Shop Boys - Kuul";"Beep Shop Boys";"Kuul";"beep_shop_boys-kuul";"http://sasslantis.ee/lyrics-beep_shop_boys-kuul";"Kallis nääri... jõulmees
Palun too mulle...


Kätte jõudmas aasta uus
Kõigil pastakas on suus
Paberile kirja read
Tempel, mark kõik nii kuis peab

Päkapikud kirja saavad 
üli väga tigedad nad
Miks nii hila kulla mees
Otsa meil said BMW'd

Nukud, suusad, supikulp
Pardel, kell ja higipulk
Teflonpann ei ole hea
kui riiulilt ta tabab pead

Kõiks saab kotti, kõik mis passib
Vana laiali kõik tassib
Aga miks küll tasuta
Aru päkapikk ei saa

[x4]
la-la-lalla, la-la-lalla 
la-la-lall, la-la-lall 
la-la-lalla

Kõik on rõõmsad, kõik on head
Rasvarida rinna peal
Küünlasäras heledas
President on telekas

Kõlab kaksteist kella pauku
Šhampus kaob kui muti auku
Vastu taevast käib saluut
Kosmonautki naerab kuul

cool, cool
Kosmonaut on kuul, kuul
Päkapikk on kuul, kuul
Kingitus on kuul, kuul
Kõik on kuul, kuul

Kõik on kuul, kuul
Kosmonaut on kuul, kuul
Vanagi on kuul, kuul

Kuul, kuul
Kõik on kuul, kuul
            
            ";"eesti"
"1994";24;NA;"Allan Roosileht - Turvamees";"Allan Roosileht - Turvamees";"Allan Roosileht";"Turvamees";"allan_roosileht-turvamees";"http://sasslantis.ee/lyrics-allan_roosileht-turvamees";"Oma lahkeid taevasiniseid silmi pean ma varjama mustade päikseprillide taha
Mitte, et ma midagi kardaks, vaid et mind õigesti mõistetaks 
Päike on erakordselt ere
Minu elu möödub rahulikult ja turvaliselt 
Vahel tuleb tundide kaupa mõne prominendi või vasevaguni kõrval seista. 
Harva õhtupimeduses võib end vabamalt tunda ja mõnele napsutanud tulinorijale pasunassse anda 
Kuid selle kõige juures tuleb jääda soliidseks, vaoshoituks, rahulikuks
Sest mina olengi...

Turvamees Vabaduse puiesteelt 
Pisikese maja ees seisab BMW
Turvamees - must ülikond ja lips on ees, 
Raha eest teeb tegusid mees

Ühel õhtul veeres väravasse päratu must Ameerika limusiin 
Uks avanes ja sellest libisesid tavasillutisele kõrgetel kontsadel päevitanud pikad sääred
Peagi seisis auto kõrval silmipimestavalt kaunis miniseelikus blondiin
Siis kõlas esimene lask
Tulistati avatud autoaknast
Algas lahing, katsin pea kätega, järsku kõik vaibus
Minu kõrval seisis mingi mees, 
Tõstsin silmad, loojuva päikese helk pimestas,
Kuid ma tundsin oma ammuse rivaali ära 
See oli...

Turvamees Linnakivi puiesteelt 
Viiekordse maja ees seisab Citroen
Turvaemees - must ülikond ja lips on ees 
Raha eest teeb tegusid mees

Hull aeg nõuab segaseid inimesi
Meie palatis on 2 kuningat, keiser, 3 peaministrit, mõned presidendid ja üks kindral 
Piimasupi lauas mõtlen käeraudadele, mis ma karusmarja põõsa alla maasse kaevasin
Oma eelnevast elust ei tule paljutki enam meelde,
Kuid ma tunnen, et ühel heal paeval kaevan ma väärt instrumendi välja 
Südames on mingi eriline aimus, justkui mind oleks tagasi valitud
Oleksin justkui...

Turvamees Vabaduse puiesteelt 
Pisikese maja ees seisab BMW
Turvamees - must ülikond ja lips on ees, 
Raha eest teeb tegusid mees

naa na naa daa daa daa ..
dadadada dadada 

Turvamees

            
            ";"eesti"
"1994";25;NA;"D.J. X & Vello Orumets - Miniseelik";"D.J. X & Vello Orumets - Miniseelik";"D.J. X & Vello Orumets";"Miniseelik";"d_j_x_vello_orumets-miniseelik";"http://sasslantis.ee/lyrics-d_j_x_vello_orumets-miniseelik";NA;NA
"1994";26;NA;"Pearu Paulus ja Evelin Samuel - Kallim Kullast";"Pearu Paulus ja Evelin Samuel - Kallim Kullast";"Pearu Paulus ja Evelin Samuel";"Kallim Kullast";"pearu_paulus_ja_evelin_samuel-kallim_kullast";"http://sasslantis.ee/lyrics-pearu_paulus_ja_evelin_samuel-kallim_kullast";NA;NA
"1994";27;NA;"Evelin Samuel - Vari Ja Roos";"Evelin Samuel - Vari Ja Roos";"Evelin Samuel";"Vari Ja Roos";"evelin_samuel-vari_ja_roos";"http://sasslantis.ee/lyrics-evelin_samuel-vari_ja_roos";NA;NA
"1994";28;NA;"Jam - Petlik On Õnn";"Jam - Petlik On Õnn";"Jam";"Petlik On Õnn";"jam-petlik_on_onn";"http://sasslantis.ee/lyrics-jam-petlik_on_onn";NA;NA
"1994";29;NA;"Jam - Öised Teed";"Jam - Öised Teed";"Jam";"Öised Teed";"jam-oised_teed";"http://sasslantis.ee/lyrics-jam-oised_teed";NA;NA
"1994";30;NA;"Jam - Ootan Tuult";"Jam - Ootan Tuult";"Jam";"Ootan Tuult";"jam-ootan_tuult";"http://sasslantis.ee/lyrics-jam-ootan_tuult";"Ootan tuult, olen laev, kes on eksinud teelt vale suund
Ootan tuult, kes ehk rääkida oskab mu keelt on mul tuul
Ootan tuul
Ootan tuult, olen laev, kes on eksinud teelt vale suund
Ootan tuult, kes ehk rääkida oskab mu keelt on mul tuul

Pole viita teel, mille suunda ma oma samme nüüd aina seaks
Ainult tuul vastab hüüdele ääretul veel tardunud
Tuule häält aina kuulan ja kuulama pean iga päev
Pole kõrvu mul kõigiks juttudeks
Kõrkushuultele pett on neid

Mu sõbraks vaid tuul, ootan tuult
Üks küsimus suul, mul vastab tuul
Ma usaldan tuult, mil vaibub tuul
Ma kuulen ta häält

Ootan tuult ...

Pole kõrvu mul ...

Mu sõbraks vaid ...

            
            ";"eesti"
"1994";31;NA;"Beep Shop Boys - Hakkaböö";"Beep Shop Boys - Hakkaböö";"Beep Shop Boys";"Hakkaböö";"beep_shop_boys-hakkaboo";"http://sasslantis.ee/lyrics-beep_shop_boys-hakkaboo";NA;NA
"1994";32;NA;"Kuldne Trio - Vana roosa";"Kuldne Trio - Vana roosa";"Kuldne Trio";"Vana roosa";"kuldne_trio-vana_roosa";"http://sasslantis.ee/lyrics-kuldne_trio-vana_roosa";NA;NA
"1994";33;NA;"Tõnis Mägi - Püha Elmo tuled";"Tõnis Mägi - Püha Elmo tuled";"Tõnis Mägi";"Püha Elmo tuled";"tonis_magi-puha_elmo_tuled";"http://sasslantis.ee/lyrics-tonis_magi-puha_elmo_tuled";"Kes korjas sõnad sinu suult 
koidutuul räsis pilvevaipa 
ma seisin, hammustades huult 
kus sa jäid - ma ei taipa

Ma sinu sünnimärke tean 
veresooni ja tedretäppe 
kas kõik nad siis unustama pean
sest ei saa sind ma kätte

Kui armastad, siis armasta
kuid olen pannud tähele
et virvatuli väreleb
ning eal ei lähene, ei eal

Jutt hõbe on, vaikimine kuld
laevamastil või kellatornis
kus märkad sa püha Elmo tuld
kodutee leiad siis tormis

:,: Kui armastad, siis armasta
kuid olen pannud tähele
et virvatuli väreleb
ning eal ei lähene, ei eal ta lähene :,:

Kui märkad püha Elmo tuld
siis kodutee ees seisab ju sul

Kui armastad, siis armasta
kuid jäägu meie vahele
et leek mis jääb sust järele
see eal ei jahene, ei eal ta jahene
            
            ";"eesti"
"1994";34;NA;"Beep Shop Boys - Okasvärk";"Beep Shop Boys - Okasvärk";"Beep Shop Boys";"Okasvärk";"beep_shop_boys-okasvark";"http://sasslantis.ee/lyrics-beep_shop_boys-okasvark";NA;NA
"1994";35;NA;"Terminaator - Ainult sina võid mu maailma muuta";"Terminaator - Ainult sina võid mu maailma muuta";"Terminaator";"Ainult sina võid mu maailma muuta";"terminaator-ainult_sina_void_mu_maailma_muuta";"http://sasslantis.ee/lyrics-terminaator-ainult_sina_void_mu_maailma_muuta";"Maailm ära väsitanud, hinge maha põletanud
kuid siiski pole lootus läinud
kuigi silmad on valet näinud
et ükskord saan su endale

Tuul on segi ajand juuksed
hääletuks on jäänd mu nuuksed
ja jälle seisan siin ja ootan
keelatud ei ole ju loota
et ükskord saan su endale

Külmetand mind põhjatuuled
hääl on kähe, puruks huuled
siiski hüüan tahaks minagi suuta
kuid ainult sina võid mu maailma muuta
sest sa kuulud minule
tahaks minagi suuta
kuid ainult sina võid mu maailma muuta
sest sa kuulud minule

Üksi liiga raske olla
tahaks sinu juurde tulla
kuid sa ei tohi mulle andeks anda
jalutama mu'ga tulla randa
ja öelda et kuulun sinule

Sa vaatad mind ja tasa nutad
mu viimse mõistuse mu'lt võtad
kuid ütlen armastan sind kahtlemata
kuid ei tohi sind ma tahta
kuigi kuulun sinule

Külmetand mind põhjatuuled
hääl on kähe, puruks huuled
siiski hüüan tahaksin ma suuta
kuid ainult sina võid mu maailma muuta
sest sa kuulud minule
tahaksin ma suuta
kuid ainult sina võid mu maailma muuta
sest sa kuulud minule

Kuulud ainult minule
            
            ";"eesti"
"1994";36;NA;"Evelin Samuel - Flight";"Evelin Samuel - Flight";"Evelin Samuel";"Flight";"evelin_samuel-flight";"http://sasslantis.ee/lyrics-evelin_samuel-flight";NA;NA
