word_texts,lemmas,postag_descriptions,sonad
kuu,kuu,nimisõna,sõidab tas
ümber,ümber,kaassõna,sõidab tas
maalitud,maalima|maalitud,,sõidab tas
vöö,vöö,nimisõna,sõidab tas
öö,öö,nimisõna,sõidab tas
on,olema,tegusõna,sõidab tas
järve,järv,nimisõna,sõidab tas
sisse,sisse,määrsõna,sõidab tas
läinud,läinud|minema,,sõidab tas
on,olema,tegusõna,sõidab tas
seal,seal,määrsõna,sõidab tas
ka,ka,määrsõna,sõidab tas
magavad,magama,tegusõna,sõidab tas
kuud,kuu,nimisõna,sõidab tas
see,see,asesõna,sõidab tas
kes,kes,asesõna,sõidab tas
on,olema,tegusõna,sõidab tas
veteneitsit,veteneitsi,nimisõna,sõidab tas
näinud,nägema|näima|näinud,,sõidab tas
see,see,asesõna,sõidab tas
enam,enam,määrsõna,sõidab tas
näha,nägema,tegusõna,sõidab tas
ei,ei,tegusõna,sõidab tas
saa,saama,tegusõna,sõidab tas
muud,muu,asesõna,sõidab tas
mul,mina,asesõna,sõidab tas
on,olema,tegusõna,sõidab tas
meeles,meel,nimisõna,sõidab tas
see,see,asesõna,sõidab tas
tuul,tuul,nimisõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
sul,sina,asesõna,sõidab tas
on,olema,tegusõna,sõidab tas
silmades,silm,nimisõna,sõidab tas
kuul,kuul,nimisõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
mul,mina,asesõna,sõidab tas
meeldib,meeldima,tegusõna,sõidab tas
vaadata,vaatama,tegusõna,sõidab tas
muud,muu,asesõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
käib,käima,tegusõna,sõidab tas
salapidi,salapidi,määrsõna,sõidab tas
öö,öö,nimisõna,sõidab tas
",",",",lausemärk,sõidab tas
käib,käima,tegusõna,sõidab tas
salapidi,salapidi,määrsõna,sõidab tas
öö,öö,nimisõna,sõidab tas
sõidan,sõitma,tegusõna,sõidab tas
tasa,tasa,määrsõna,sõidab tas
üle,üle,määrsõna,sõidab tas
silla,sild,nimisõna,sõidab tas
keskel,keskel,kaassõna,sõidab tas
peatuma,peatuma,tegusõna,sõidab tas
jään,jääma,tegusõna,sõidab tas
see,see,asesõna,sõidab tas
niiske,niiske,omadussõna algvõrre,sõidab tas
vaatepilt,vaatepilt,nimisõna,sõidab tas
su,sina,asesõna,sõidab tas
meelest,meelest,kaassõna,sõidab tas
kui,kui,,sõidab tas
kleidiserva,kleidiserv,nimisõna,sõidab tas
tõstab,tõstma,tegusõna,sõidab tas
tuul,tuul,nimisõna,sõidab tas
see,see,asesõna,sõidab tas
karge,karge,omadussõna algvõrre,sõidab tas
hommikune,hommikune,omadussõna algvõrre,sõidab tas
valgus,valgus,nimisõna,sõidab tas
mida,mis,asesõna,sõidab tas
magajad,magaja,nimisõna,sõidab tas
ei,ei,tegusõna,sõidab tas
näe,nägema,tegusõna,sõidab tas
ei,ei,tegusõna,sõidab tas
ole,olema,tegusõna,sõidab tas
lihtsalt,lihtsalt,määrsõna,sõidab tas
päeva,päev,nimisõna,sõidab tas
algus,algus,nimisõna,sõidab tas
vaid,vaid,määrsõna,sõidab tas
ta,tema,asesõna,sõidab tas
sulle,sina,asesõna,sõidab tas
ulatab,ulatama,tegusõna,sõidab tas
käe,käsi,nimisõna,sõidab tas
mul,mina,asesõna,sõidab tas
on,olema,tegusõna,sõidab tas
meeles,meel,nimisõna,sõidab tas
see,see,asesõna,sõidab tas
tuul,tuul,nimisõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
sul,sina,asesõna,sõidab tas
on,olema,tegusõna,sõidab tas
silmades,silm,nimisõna,sõidab tas
kuul,kuul,nimisõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
mul,mina,asesõna,sõidab tas
meeldib,meeldima,tegusõna,sõidab tas
vaadata,vaatama,tegusõna,sõidab tas
muud,muu,asesõna,sõidab tas
ja,ja,sidesõna,sõidab tas
rohkem,rohkem,määrsõna,sõidab tas
veel,veel,määrsõna,sõidab tas
...,...,lausemärk,sõidab tas
käib,käima,tegusõna,sõidab tas
salapidi,salapidi,määrsõna,sõidab tas
öö,öö,nimisõna,sõidab tas
",",",",lausemärk,sõidab tas
käib,käima,tegusõna,sõidab tas
salapidi,salapidi,määrsõna,sõidab tas
öö,öö,nimisõna,sõidab tas
2x,2x,lühend,sõidab tas
Lööb,lööma,tegusõna,Lööb kirik
kirikukell,kirikukell,nimisõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
mu,mina,asesõna,Lööb kirik
juustele,juus,nimisõna,Lööb kirik
langend,langend,nimisõna,Lööb kirik
on,olema,tegusõna,Lööb kirik
lumi,lumi,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Kõik,kõik,asesõna,Lööb kirik
ümber,ümber,kaassõna,Lööb kirik
on,olema,tegusõna,Lööb kirik
pime,pime,omadussõna algvõrre,Lööb kirik
",",",",lausemärk,Lööb kirik
vaid,vaid,sidesõna,Lööb kirik
tähed,täht,nimisõna,Lööb kirik
mul,mina,asesõna,Lööb kirik
näitavad,näitama,tegusõna,Lööb kirik
teed,tee,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Aeg,aeg,nimisõna,Lööb kirik
andeks,andeks,verbi juurde kuuluv sõna,Lööb kirik
on,olema,tegusõna,Lööb kirik
anda,andma,tegusõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
unustada,unustama,tegusõna,Lööb kirik
kõik,kõik,asesõna,Lööb kirik
",",",",lausemärk,Lööb kirik
mis,mis,asesõna,Lööb kirik
kuri,kuri,omadussõna algvõrre,Lööb kirik
Ja,ja,sidesõna,Lööb kirik
lõpuni,lõpp,nimisõna,Lööb kirik
käia,käima,tegusõna,Lööb kirik
kõik,kõik,asesõna,Lööb kirik
pooleli,pooleli,määrsõna,Lööb kirik
olevad,olev,omadussõna algvõrre,Lööb kirik
teed,tegema,tegusõna,Lööb kirik
(,(,lausemärk,Lööb kirik
su,sina,asesõna,Lööb kirik
juurde,juurde,kaassõna,Lööb kirik
ma,mina,asesõna,Lööb kirik
tulen,tulema,tegusõna,Lööb kirik
kord,kord,määrsõna,Lööb kirik
veel,veel,määrsõna,Lööb kirik
),),lausemärk,Lööb kirik
Ma,mina,asesõna,Lööb kirik
kalmistul,kalmistu,nimisõna,Lööb kirik
süütasin,süütama,tegusõna,Lööb kirik
küünla,küünal,nimisõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
ootasin,ootama,tegusõna,Lööb kirik
kaua,kaua,määrsõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Mul,mina,asesõna,Lööb kirik
tundus,tunduma,tegusõna,Lööb kirik
",",",",lausemärk,Lööb kirik
et,et,sidesõna,Lööb kirik
tulid,tulema,tegusõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
käest,käsi,nimisõna,Lööb kirik
võtsid,võtma,tegusõna,Lööb kirik
kinni,kinni,määrsõna,Lööb kirik
sa,sina,asesõna,Lööb kirik
mul,mina,asesõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Ma,mina,asesõna,Lööb kirik
seisin,seisma,tegusõna,Lööb kirik
seal,seal,määrsõna,Lööb kirik
tunde,tund,nimisõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
lõpuks,lõpuks,määrsõna,Lööb kirik
jätsin,jätma,tegusõna,Lööb kirik
su,sina,asesõna,Lööb kirik
haua,haud,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
See,see,asesõna,Lööb kirik
uni,uni,nimisõna,Lööb kirik
ei,ei,tegusõna,Lööb kirik
lõppegi,lõppema,tegusõna,Lööb kirik
ärgates,ärkama,tegusõna,Lööb kirik
hommikul,hommik,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Ref,Ref,pärisnimi,Lööb kirik
:,:,lausemärk,Lööb kirik
Kui,kui,,Lööb kirik
külmus,külmus,nimisõna,Lööb kirik
poeb,pugema,tegusõna,Lööb kirik
hinge,hing,nimisõna,Lööb kirik
",",",",lausemärk,Lööb kirik
su,sina,asesõna,Lööb kirik
varjust,vari,nimisõna,Lööb kirik
saan,saama,tegusõna,Lööb kirik
tuld,tuli,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Sa,sina,asesõna,Lööb kirik
ilmud,ilmuma,tegusõna,Lööb kirik
",",",",lausemärk,Lööb kirik
kui,kui,,Lööb kirik
ingel,ingel,nimisõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
sa,sina,asesõna,Lööb kirik
särad,särama,tegusõna,Lööb kirik
",",",",lausemärk,Lööb kirik
kui,kui,,Lööb kirik
kuld,kuld,nimisõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Hetk,hetk,nimisõna,Lööb kirik
õrnalt,õrnalt,määrsõna,Lööb kirik
mind,mina,asesõna,Lööb kirik
puutud,puutuma,tegusõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
lähedki,minema,tegusõna,Lööb kirik
taas,taas,määrsõna,Lööb kirik
Kui,kui,,Lööb kirik
unenäoks,unenägu,nimisõna,Lööb kirik
muutud,muutuma,tegusõna,Lööb kirik
",",",",lausemärk,Lööb kirik
ei,ei,tegusõna,Lööb kirik
suuda,suutma,tegusõna,Lööb kirik
ma,mina,asesõna,Lööb kirik
iialgi,iialgi,määrsõna,Lööb kirik
ärgata,ärkama,tegusõna,Lööb kirik
.,.,lausemärk,Lööb kirik
Lõi,looma|lööma,tegusõna,Lööb kirik
kiriku,kirik,nimisõna,Lööb kirik
kell,kell,nimisõna,Lööb kirik
tol,too,asesõna,Lööb kirik
öösel,öösel,määrsõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
mets,mets,nimisõna,Lööb kirik
vastu,vastu,määrsõna,Lööb kirik
kajas,kajama,tegusõna,Lööb kirik
Ma,mina,asesõna,Lööb kirik
aastast,aasta,nimisõna,Lööb kirik
aastasse,aasta,nimisõna,Lööb kirik
tulen,tulema,tegusõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
sind,sina,asesõna,Lööb kirik
ikka,ikka,määrsõna,Lööb kirik
näen,nägema,tegusõna,Lööb kirik
Ma,mina,asesõna,Lööb kirik
elan,elama,tegusõna,Lööb kirik
siin,siin,määrsõna,Lööb kirik
ruumis,ruum,nimisõna,Lööb kirik
ja,ja,sidesõna,Lööb kirik
tean,teadma,tegusõna,Lööb kirik
",",",",lausemärk,Lööb kirik
et,et,sidesõna,Lööb kirik
sa,sina,asesõna,Lööb kirik
hõljud,hõljuma,tegusõna,Lööb kirik
ajas,aeg,nimisõna,Lööb kirik
Ja,ja,sidesõna,Lööb kirik
ingli,ingel,nimisõna,Lööb kirik
puudutus,puudutus,nimisõna,Lööb kirik
alati,alati,määrsõna,Lööb kirik
meelde,meel,nimisõna,Lööb kirik
mul,mina,asesõna,Lööb kirik
jääb,jääma,tegusõna,Lööb kirik
.,.,lausemärk,Lööb kirik
sa,sina,asesõna,sa väljaku
väljakutsuvalt,väljakutsuvalt,määrsõna,sa väljaku
läigid,läik,nimisõna,sa väljaku
ja,ja,sidesõna,sa väljaku
vaikselt,vaikselt,määrsõna,sa väljaku
tuksub,tuksuma,tegusõna,sa väljaku
su,sina,asesõna,sa väljaku
põu,põu,nimisõna,sa väljaku
ma,mina,asesõna,sa väljaku
näen,nägema,tegusõna,sa väljaku
et,et,sidesõna,sa väljaku
täiesti,täiesti,määrsõna,sa väljaku
valmis,valmis,määrsõna,sa väljaku
sa,sina,asesõna,sa väljaku
oled,olema,tegusõna,sa väljaku
valla,valla,määrsõna,sa väljaku
päästma,päästma,tegusõna,sa väljaku
hobujõud,hobujõud,nimisõna,sa väljaku
veel,veel,määrsõna,sa väljaku
silitan,silitama,tegusõna,sa väljaku
sinu,sina,asesõna,sa väljaku
pinda,pind,nimisõna,sa väljaku
on,olema,tegusõna,sa väljaku
suured,suur,omadussõna algvõrre,sa väljaku
pamperid,pamper|pamperi,nimisõna,sa väljaku
sul,sina,asesõna,sa väljaku
ma,mina,asesõna,sa väljaku
kuuma,kuum,omadussõna algvõrre,sa väljaku
mootori,mootor,nimisõna,sa väljaku
lõhna,lõhn,nimisõna,sa väljaku
järgi,järgi,kaassõna,sa väljaku
olen,olema,tegusõna,sa väljaku
olnud,olema|olnud,,sa väljaku
alati,alati,määrsõna,sa väljaku
hull,hull,omadussõna algvõrre,sa väljaku
lähme,minema,tegusõna,sa väljaku
sõidame,sõitma,tegusõna,sa väljaku
ainult,ainult,määrsõna,sa väljaku
hoia,hoidma,tegusõna,sa väljaku
kinni,kinni,määrsõna,sa väljaku
mulle,mina,asesõna,sa väljaku
meeldib,meeldima,tegusõna,sa väljaku
see,see,asesõna,sa väljaku
mida,mis,asesõna,sa väljaku
minule,mina,asesõna,sa väljaku
teed,tegema,tegusõna,sa väljaku
tahan,tahtma,tegusõna,sa väljaku
veel,veel,määrsõna,sa väljaku
tahan,tahtma,tegusõna,sa väljaku
veel,veel,määrsõna,sa väljaku
teha,tegema,tegusõna,sa väljaku
ühe,ühe,nimisõna,sa väljaku
ringi,ringi,määrsõna,sa väljaku
lähme,minema,tegusõna,sa väljaku
sõidame,sõitma,tegusõna,sa väljaku
kogu,kogu,omadussõna algvõrre,sa väljaku
öö,öö,nimisõna,sa väljaku
on,olema,tegusõna,sa väljaku
veel,veel,määrsõna,sa väljaku
ees,ees,määrsõna,sa väljaku
ma,mina,asesõna,sa väljaku
õrnalt,õrnalt,määrsõna,sa väljaku
puudutan,puudutama,tegusõna,sa väljaku
gaasi,gaas,nimisõna,sa väljaku
käib,käima,tegusõna,sa väljaku
läbi,läbi,kaassõna,sa väljaku
värin,värin,nimisõna,sa väljaku
su,sina,asesõna,sa väljaku
seest,seest,kaassõna,sa väljaku
ja,ja,sidesõna,sa väljaku
kui,kui,,sa väljaku
ma,mina,asesõna,sa väljaku
käigu,käik,nimisõna,sa väljaku
löön,lööma,tegusõna,sa väljaku
sisse,sisse,määrsõna,sa väljaku
sa,sina,asesõna,sa väljaku
lähed,minema,tegusõna,sa väljaku
karjatades,karjatama,tegusõna,sa väljaku
liikvele,liikvele,määrsõna,sa väljaku
ei,ei,tegusõna,sa väljaku
peata,peatama,tegusõna,sa väljaku
meid,mina,asesõna,sa väljaku
valgusfoorid,valgusfoor,nimisõna,sa väljaku
ei,ei,tegusõna,sa väljaku
hooli,hoolima,tegusõna,sa väljaku
reeglitest,reegel,nimisõna,sa väljaku
me,mina,asesõna,sa väljaku
ja,ja,sidesõna,sa väljaku
viiekümneses,viiekümnene,omadussõna algvõrre,sa väljaku
tsoonis,tsoon,nimisõna,sa väljaku
meil,mina,asesõna,sa väljaku
sadaseitsekümmendkaks,sadaseitsekümmendka|sadaseitsekümmendkas,nimisõna,sa väljaku
on,olema,tegusõna,sa väljaku
sees,sees,määrsõna,sa väljaku
Üks,üks,asesõna,Üks mis ki
mis,mis,asesõna,Üks mis ki
kindel,kindel,omadussõna algvõrre,Üks mis ki
iga,iga,asesõna,Üks mis ki
mees,mees,nimisõna,Üks mis ki
Kord,kord,määrsõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
olnud,olema|olnud,,Üks mis ki
sõiduvees,sõiduvesi,nimisõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Kui,kui,,Üks mis ki
unistuste,unistus,nimisõna,Üks mis ki
laeva,laev,nimisõna,Üks mis ki
pärituul,pärituul,nimisõna,Üks mis ki
lükkab,lükkama,tegusõna,Üks mis ki
õnne,õnn,nimisõna,Üks mis ki
taeva,taevas,nimisõna,Üks mis ki
Ja,ja,sidesõna,Üks mis ki
siis,siis,määrsõna,Üks mis ki
ennäe,ennäe,hüüdsõna,Üks mis ki
juba,juba,määrsõna,Üks mis ki
õnngi,õnn,nimisõna,Üks mis ki
ootab,ootama,tegusõna,Üks mis ki
ees,ees,määrsõna,Üks mis ki
Hiljem,hiljem,määrsõna,Üks mis ki
küll,küll,määrsõna,Üks mis ki
ei,ei,tegusõna,Üks mis ki
oska,oskama,tegusõna,Üks mis ki
öelda,ütlema,tegusõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Miks,miks,määrsõna,Üks mis ki
just,just,,Üks mis ki
roosiaed,roosiaed,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
see,see,asesõna,Üks mis ki
.,.,lausemärk,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roose,roos,nimisõna,Üks mis ki
pole,olema,tegusõna,Üks mis ki
kandnud,kandma|kandnud,,Üks mis ki
ükski,ükski,määrsõna,Üks mis ki
pind,pind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
just,just,,Üks mis ki
kui,kui,,Üks mis ki
liibadeta,liiba,nimisõna,Üks mis ki
lind,lind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
liiga,liiga,määrsõna,Üks mis ki
kergelt,kergelt,määrsõna,Üks mis ki
murtud,murdma|murtud,,Üks mis ki
oleks,olema,tegusõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
ikka,ikka,määrsõna,Üks mis ki
unelmad,unelm,nimisõna,Üks mis ki
ja,ja,sidesõna,Üks mis ki
okkad,okas,nimisõna,Üks mis ki
ühes,üks,asesõna,Üks mis ki
koos,koos,määrsõna,Üks mis ki
Vist,vist,määrsõna,Üks mis ki
nüüd,nüüd,määrsõna,Üks mis ki
sellest,see,asesõna,Üks mis ki
mõtle,mõtlema,tegusõna,Üks mis ki
vaid,vaid,määrsõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Et,et,sidesõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
tundeid,tunne,nimisõna,Üks mis ki
suuremaid,suurem,omadussõna keskvõrre,Üks mis ki
Ja,ja,sidesõna,Üks mis ki
armastust,armastus,nimisõna,Üks mis ki
kui,kui,,Üks mis ki
filmi,film,nimisõna,Üks mis ki
Iga,iga,asesõna,Üks mis ki
päev,päev,nimisõna,Üks mis ki
ootad,ootama,tegusõna,Üks mis ki
pikki,pikk,omadussõna algvõrre,Üks mis ki
silmi,silm,nimisõna,Üks mis ki
Jahh,jahh,hüüdsõna,Üks mis ki
eks,eks,määrsõna,Üks mis ki
näis,näima,tegusõna,Üks mis ki
",",",",lausemärk,Üks mis ki
siis,siis,sidesõna,Üks mis ki
kui,kui,,Üks mis ki
rind,rind,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
okkaid,okas,nimisõna,Üks mis ki
täis,täis,omadussõna algvõrre,Üks mis ki
",",",",lausemärk,Üks mis ki
Kus,kus,määrsõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
mees,mees,nimisõna,Üks mis ki
kes,kes,asesõna,Üks mis ki
julgeks,julgema,tegusõna,Üks mis ki
öelda,ütlema,tegusõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Et,et,sidesõna,Üks mis ki
just,just,,Üks mis ki
roosiaias,roosiaed,nimisõna,Üks mis ki
käis,käima,tegusõna,Üks mis ki
.,.,lausemärk,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roose,roos,nimisõna,Üks mis ki
pole,olema,tegusõna,Üks mis ki
kandnud,kandma|kandnud,,Üks mis ki
ükski,ükski,määrsõna,Üks mis ki
pind,pind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
just,just,,Üks mis ki
kui,kui,,Üks mis ki
tiibadeta,tiib,nimisõna,Üks mis ki
lind,lind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
liiga,liiga,määrsõna,Üks mis ki
kergelt,kergelt,määrsõna,Üks mis ki
murtud,murdma|murtud,,Üks mis ki
oleks,olema,tegusõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
ikka,ikka,määrsõna,Üks mis ki
unelmad,unelm,nimisõna,Üks mis ki
ja,ja,sidesõna,Üks mis ki
okkad,okas,nimisõna,Üks mis ki
ühes,üks,asesõna,Üks mis ki
koos,koos,kaassõna,Üks mis ki
Pikka,pikk,omadussõna algvõrre,Üks mis ki
aega,aeg,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
ju,ju,määrsõna,Üks mis ki
meid,mina,asesõna,Üks mis ki
Köitnud,köitma|köitnud,,Üks mis ki
unelmate,unelm,nimisõna,Üks mis ki
neid,see,asesõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Kuid,kuid,sidesõna,Üks mis ki
roosiline,roosiline,omadussõna algvõrre,Üks mis ki
elu,elu,nimisõna,Üks mis ki
ühtki,üks,asesõna,Üks mis ki
meest,mees,nimisõna,Üks mis ki
kaua,kaua,määrsõna,Üks mis ki
küll,küll,määrsõna,Üks mis ki
ei,ei,tegusõna,Üks mis ki
võlu,võlu,nimisõna,Üks mis ki
Kas,kas,määrsõna,Üks mis ki
pole,olema,tegusõna,Üks mis ki
hea,hea,omadussõna algvõrre,Üks mis ki
",",",",lausemärk,Üks mis ki
et,et,sidesõna,Üks mis ki
vaid,vaid,määrsõna,Üks mis ki
paari,paar,põhiarvsõna,Üks mis ki
okast,okas,nimisõna,Üks mis ki
tean,teadma,tegusõna,Üks mis ki
Elupäevad,elupäev,nimisõna,Üks mis ki
tänan,tänama,tegusõna,Üks mis ki
taevast,taevas,nimisõna,Üks mis ki
",",",",lausemärk,Üks mis ki
Et,et,sidesõna,Üks mis ki
üht,üks,asesõna,Üks mis ki
ainsat,ainus,omadussõna algvõrre,Üks mis ki
roosi,roos,nimisõna,Üks mis ki
tean,teadma,tegusõna,Üks mis ki
.,.,lausemärk,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roose,roos,nimisõna,Üks mis ki
pole,olema,tegusõna,Üks mis ki
kandnud,kandma|kandnud,,Üks mis ki
ükski,ükski,määrsõna,Üks mis ki
pind,pind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roosil,roos,nimisõna,Üks mis ki
poole,pool,põhiarvsõna,Üks mis ki
väiksem,väiksem,omadussõna keskvõrre,Üks mis ki
oleks,olema,tegusõna,Üks mis ki
hind,hind,nimisõna,Üks mis ki
ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
liiga,liiga,määrsõna,Üks mis ki
kergelt,kergelt,määrsõna,Üks mis ki
murtud,murdma|murtud,,Üks mis ki
oleks,olema,tegusõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
ikka,ikka,määrsõna,Üks mis ki
unelmad,unelm,nimisõna,Üks mis ki
ja,ja,sidesõna,Üks mis ki
okkad,okas,nimisõna,Üks mis ki
ühes,üks,asesõna,Üks mis ki
koos,koos,kaassõna,Üks mis ki
Ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roose,roos,nimisõna,Üks mis ki
pole,olema,tegusõna,Üks mis ki
kandnud,kandma|kandnud,,Üks mis ki
ükski,ükski,määrsõna,Üks mis ki
pind,pind,nimisõna,Üks mis ki
Ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
on,olema,tegusõna,Üks mis ki
just,just,,Üks mis ki
kui,kui,,Üks mis ki
liibadeta,liiba,nimisõna,Üks mis ki
lind,lind,nimisõna,Üks mis ki
Ilma,ilma,kaassõna,Üks mis ki
okasteta,okas,nimisõna,Üks mis ki
liiga,liiga,määrsõna,Üks mis ki
kergelt,kergelt,määrsõna,Üks mis ki
murtud,murdma|murtud,,Üks mis ki
oleks,olema,tegusõna,Üks mis ki
roos,roos,nimisõna,Üks mis ki
Ikka,ikka,määrsõna,Üks mis ki
armastus,armastus,nimisõna,Üks mis ki
ja,ja,sidesõna,Üks mis ki
okkad,okas,nimisõna,Üks mis ki
ühes,üks,asesõna,Üks mis ki
koos,koos,määrsõna,Üks mis ki
Ikka,ikka,määrsõna,Üks mis ki
armastus,armastus,nimisõna,Üks mis ki
ja,ja,sidesõna,Üks mis ki
okkad,okas,nimisõna,Üks mis ki
ühes,üks,asesõna,Üks mis ki
koos,koos,määrsõna,Üks mis ki
.,.,lausemärk,Üks mis ki
":,:",":,:",lausemärk,":,:Papapap"
Papapapaa,Papapapaa,pärisnimi,":,:Papapap"
...,...,lausemärk,":,:Papapap"
Ööks,Ööks,pärisnimi,":,:Papapap"
Muumimaja,Muumimaja,pärisnimi,":,:Papapap"
eal,iga,nimisõna,":,:Papapap"
lukku,lukku,määrsõna,":,:Papapap"
ei,ei,tegusõna,":,:Papapap"
panda,panda,nimisõna,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
",",",",lausemärk,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
Seal,seal,määrsõna,":,:Papapap"
",",",",lausemärk,":,:Papapap"
kus,kus,määrsõna,":,:Papapap"
meri,meri,nimisõna,":,:Papapap"
viib,viima,tegusõna,":,:Papapap"
lootuste,lootus,nimisõna,":,:Papapap"
randa,rand,nimisõna,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
",",",",lausemärk,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
Pere,pere,nimisõna,":,:Papapap"
lööb,lööma,tegusõna,":,:Papapap"
tantsu,tants,nimisõna,":,:Papapap"
end,end,lühend,":,:Papapap"
eeskujuks,eeskuju,nimisõna,":,:Papapap"
seab,seadma,tegusõna,":,:Papapap"
Muumidelt,Muum|Muumi,pärisnimi,":,:Papapap"
elamist,elamine,nimisõna,":,:Papapap"
õppima,õppima,tegusõna,":,:Papapap"
peab,pidama,tegusõna,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
":,:",":,:",lausemärk,":,:Papapap"
Papapapaa,Papapapaa,pärisnimi,":,:Papapap"
...,...,lausemärk,":,:Papapap"
Hei,hei,hüüdsõna,":,:Papapap"
Muumid,Muum|Muumi|Muumid,pärisnimi,":,:Papapap"
!,!,lausemärk,":,:Papapap"
Lase,laskma,tegusõna,Lase lõdva
lõdvaks,lõtv,omadussõna algvõrre,Lase lõdva
end,ise,asesõna,Lase lõdva
ja,ja,sidesõna,Lase lõdva
tõsta,tõstma,tegusõna,Lase lõdva
käed,käsi,nimisõna,Lase lõdva
.,.,lausemärk,Lase lõdva
